obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,line_ref
617.98488,6e-05,617.984902,1.2e-05,160,L5951
618.0043,0.0004,618.005711,1.2e-05,7,L12239
618.439,0.0005,618.438809,1.9e-05,120,L2372
618.4469,0.0005,618.446801,1.6e-05,30,L2372
618.47368,4e-05,618.473638,9e-06,350,L5951
618.80531,7e-05,618.80514,5e-05,140,L5951
618.9417,0.0005,618.941779,1.6e-05,0,L2372
619.38563,3e-05,619.385659,7e-06,570,L5951
619.3978,0.0005,619.39853,3e-05,0,L2372
619.4315,0.0005,619.431658,1.2e-05,0,L2372
619.63965,5e-05,619.63966,1.2e-05,200,L5951
619.90623,0.00023,619.905937,1.9e-05,47,L12239
620.04326,4e-05,620.043266,8e-06,370,L5951
620.0551,0.0005,620.05525,1.6e-05,0,L2372
620.41281,7e-05,620.412772,1.2e-05,140,L5951
620.4768,0.0003,620.476897,1.6e-05,23,L12239
620.52561,7e-05,620.525664,1.6e-05,120,L5951
620.682,0.0005,620.682498,2.3e-05,0,L2372
620.7477,0.0005,620.748366,2e-05,30,L2372
621.1607,0.0005,621.16071,3e-05,0,L2372
621.1663,0.0005,621.166419,1.6e-05,45,L2372
621.36547,0.00023,621.365539,1e-05,50,L12239
622.15787,8e-05,622.15786,3e-05,95,L5951
622.35202,7e-05,622.351956,1.6e-05,130,L5951
622.66274,8e-05,622.662818,9e-06,90,L5951
622.6935,0.0003,622.693498,9e-06,32,L12239
623.11227,7e-05,623.112312,9e-06,130,L5951
623.13808,6e-05,623.138137,1.2e-05,190,L5951
623.29745,4e-05,623.297457,1.2e-05,400,L5951
623.4297,0.0003,623.429878,2e-05,25,L12239
623.5355,0.0003,623.535324,8e-06,33,L12239
623.5793,0.0005,623.580018,1.6e-05,15,L2372
623.8244,0.0005,623.825183,2e-05,0,L2372
623.897,0.0005,623.897671,1.2e-05,15,L2372
623.90818,0.00023,623.908304,1.6e-05,39,L12239
623.9543,0.0005,623.95446,5e-05,30,L2372
624.14162,7e-05,624.141909,9e-06,130,L5951
624.1694,0.0005,624.16922,1.6e-05,30,L2372
624.3103,0.0005,624.311811,1.6e-05,0,L2372
624.50409,5e-05,624.504076,9e-06,200,L5951
624.56183,5e-05,624.561857,1e-05,200,L5951
624.69297,7e-05,624.692954,1e-05,120,L5951
624.81188,7e-05,624.812009,1.2e-05,120,L5951
625.6107,0.0004,625.610979,1.6e-05,7,L12239
625.6751,0.0003,625.67508,3e-05,16,L12239
625.69289,0.00016,625.692807,1.2e-05,120,L12239
625.86068,4e-05,625.860671,9e-06,550,L5951
626.106436,1.2e-05,626.106414,7e-06,1100,L18702
626.2805,0.0005,626.280123,1e-05,4,L12239
626.4314,0.0003,626.43223,5e-05,23,L12239
626.61737,4e-05,626.61736,1.2e-05,390,L5951
627.411664,8e-06,627.411667,7e-06,2000,L18702
627.5206,0.0004,627.52125,4e-05,12,L12239
627.72385,4e-05,627.723852,9e-06,580,L5951
627.91666,3e-05,627.916682,1e-05,790,L5951
628.5278,3e-05,628.527805,9e-06,630,L5951
628.94882,5e-05,628.948795,1.6e-05,300,L5951
629.50612,0.00024,629.5056,4e-05,44,L12239
630.2019,0.0005,630.20327,8e-05,4,L12239
630.42423,4e-05,630.424257,9e-06,320,L5951
632.11687,0.0002,632.115963,8e-06,64,L12239
632.1631,0.0004,632.16284,3e-05,12,L12239
632.2207,0.0003,632.221033,9e-06,24,L12239
632.2538,0.0004,632.25309,8e-05,10,L12239
632.38421,6e-05,632.384191,1e-05,190,L5951
632.87607,8e-05,632.875901,1.2e-05,100,L5951
633.25118,6e-05,633.251205,2e-05,210,L5951
633.8906,0.0003,633.8913,6e-05,23,L12239
634.85614,0.0002,634.855181,2e-05,60,L12239
635.62198,0.0002,635.622094,1.3e-05,77,L12239
635.86212,4e-05,635.862142,1.6e-05,480,L5951
635.91345,5e-05,635.91355,1.3e-05,230,L5951
636.22519,4e-05,636.225274,1.7e-05,440*,L5951
636.32716,0.00016,636.327195,8e-06,220,L12239
637.7495,0.00024,637.749577,2.1e-05,31,L12239
637.87605,6e-05,637.876004,1.7e-05,170,L5951
637.91735,9e-05,637.917218,1.3e-05,84,L5951
637.9793,0.0003,637.979638,1.3e-05,25,L12239
638.04737,0.00024,638.047698,1e-05,41,L12239
638.1973,0.0003,638.196776,2.5e-05,23,L12239
638.32244,0.0002,638.322506,1e-05,63,L12239
638.33422,4e-05,638.33427,1.3e-05,350,L5951
638.78647,0.00024,638.78648,3e-05,33,L12239
639.46986,0.00016,639.46972,8e-05,63,L18702
