obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"641.238"	"641.236+"	"10"	""			
"641.841"	"641.8389+"	"30"	""			
""	"641.8929+"	""	"2.3e+05"	C+		
"641.898"	"641.8996+"	"30h"	""			
"642.133"	"642.13+"	""	""			
"643.0155"	"643.0141+"	"20"	"3.00e+05"	B+		
"643.501"	"643.512+"	""	""			
"643.832"	"643.83+"	""	""			
"643.890"	"643.91+"	""	""			
"644.870"	"644.870+"	"2h*"	""			
"644.870"	"644.870+"	"2h*"	""			
"645.048"	"645.048+"	"7"	""			
"645.179"	"645.179+"	"10hl"	""			
"645.871"	"645.89+"	""	""			
"646.150"	"646.150+"	"3"	"1.20e+05"	C+		
"646.9705"	"646.9705+"	"300"	""			
"647.2841"	"647.2843+"	"150"	""			
"648.363"	"648.37+"	""	""			
"648.7765"	"648.7765+"	"120"	"9.40e+05"	B		
"649.743"	"649.740+"	"30hl"	""			
"649.8717"	"649.8717+"	"100"	""			
"650.037"	"650.0437+"	"15*"	""			
"650.037"	"650.036+"	"15*"	""			
"650.418"	"650.417+"	"200h"	""			
"650.438"	"650.4344+"	""	""			
"650.750"	"650.7493+"	""	""		M1	
"652.1508"	"652.1517+"	"40"	""			
"653.3159"	"653.3156+"	"100"	"1.03e+06"	B+		
"654.3360"	"654.3357+"	"40"	"2.70e+05"	B+		
"654.612"	"654.6134+"	"20"	""			
"655.260"	"655.26+"	""	""			
"655.299"	"655.30+"	""	""			
"655.366"	"655.365+"	"4"	""			
"655.4196"	"655.4185+"	"50hl"	""			
"655.862"	"655.859+"	""	""			
"655.997"	"655.9954+"	"25"	""			
"656.065"	"656.0587+"	"4h"	""			
"656.839"	"656.86+"	"30"	""			
"658.327"	"658.3245+"	"20"	""			
"659.086"	"659.0871+"	"8"	""			
"659.327"	"659.33+"	""	""			
"659.5561"	"659.5559+"	"100"	""			
"659.971"	"659.9698+"	""	""			
"660.158"	"660.16+"	""	""			
"660.206"	"660.21+"	""	""			
"660.287"	"660.288+"	"4h*"	""			
"660.287"	"660.285+"	"4h*"	""			
"660.446"	"660.454+"	""	""			
"660.498"	"660.500+"	""	""			
"660.741"	"660.742+"	"30h"	""			
"660.887"	"660.8885+"	"10"	""			
"662.108"	"662.11+"	""	""			
"663.044"	"663.0454+"	"2"	""			
"663.2464"	"663.2466+"	"50"	""			
"663.638"	"663.65+"	""	""			
"664.875"	"664.8727+"	"3"	""			
"665.467"	"665.46+"	""	""			
"665.792"	"665.7929+"	"20"	""			
"666.485"	"666.487+"	"4"	""			
"666.567"	"666.57+"	""	""			
"666.629"	"666.63+"	""	""			
"666.6965"	"666.6963+"	"60"	"1.10e+06"	B+		
"666.8920"	"666.8923+"	"150"	""			
"667.653"	"667.66+"	""	""			
"667.8972"	"667.8969+"	"25"	""			
"668.1036"	"668.1032+"	"20"	""			
"668.479"	"668.48+"	"30*"	""			
"668.479"	"668.48+"	"30*"	""			
"670.326"	"670.31+"	""	""			
"670.362"	"670.38+"	""	""			
"670.546"	"670.552+"	""	""			
"670.646"	"670.648+"	"1"	""			
"670.825"	"670.81+"	"3*"	""			
"670.825"	"670.81+"	"3*"	""			
"670.825"	"670.81+"	"3*"	""			
"671.293"	"671.29+"	"3*"	""			
"671.293"	"671.29+"	"3*"	""			
"671.293"	"671.29+"	"3*"	""			
"671.939"	"671.94+"	""	""			
"672.138"	"672.138+"	""	""			
"672.8008"	"672.8006+"	"200"	""			
"672.857"	"672.8538+"	"f"	""		M1	
"673.614"	"673.61+"	""	""			
"673.650"	"673.68+"	""	""			
"675.193"	"675.19+"	""	""			
"675.279"	"675.28+"	""	""			
"676.712"	"676.7093+"	"10"	""			
"677.757"	"677.7559+"	"50"	""			
"677.860"	"677.8588+"	"40"	""			
"680.812"	"680.78+"	"5"	""			
"681.564"	"681.5624+"	"12"	"2.10e+05"	B+		
"681.838"	"681.837+"	"15"	""			
"682.7315"	"682.7313+"	"200"	""			
"684.096"	"684.0960+"	"8"	""			
"684.150"	"684.150+"	"20*"	""			
"684.150"	"684.146+"	"20*"	""			
"684.427"	"684.426+"	"1"	""			
"684.484"	"684.4837+"	"2h"	""			
"684.6613"	"684.6613+"	"60"	""			
"684.882"	"684.881+"	"50"	""			
"685.013"	"685.0128+"	"30"	""			
"686.019"	"686.0162+"	"40"	""			
"686.320"	"686.3171+"	"20"	""			
"686.558"	"686.5536+"	"5"	""			
"686.6838"	"686.6842+"	"50"	"9.20e+05"	B		
"687.2107"	"687.2105+"	"100"	""			
"688.2155"	"688.2154+"	"300"	"5.83e+06"	B		
