obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"444.84587"	"444.845934"	"14"	""			
"444.88791"	"444.887916"	"166"	"6.5e+07"	D		
"444.9521"	"444.95203"	"7"	""			
"445.655"	"445.655075"	"1"	""			
"445.8885"	"445.887904"	"1h"	""			
"446.05558"	"446.055706"	"35"	"1.5e+06"	B+		
"447.47591"	"447.475916"	"347"	"2.90e+07"	B		
"448.18104"	"448.181045"	"646"	"4.55e+07"	B		
"449.09813"	"449.098136"	"48"	"4.6e+06"	B		
"449.85374"	"449.85383"	"25"	""			
"450.29265"	"450.29272"	"42"	""			
"450.308"	"450.308810"	"1h"	""			
"450.9957"	"450.99643"	"2"	""			
"451.6095"	"451.610273"	"1h,l"	""			
"451.75363"	"451.753542"	"4"	""			
"453.05522"	"453.055209"	"63"	"2.1e+06"	B		
"453.54905"	"453.549051"	"21"	"7.4e+06"	D		
"453.76409"	"453.76423"	"13"	""			
"453.87102"	"453.871052"	"4"	""			
"454.38702"	"454.386908"	"10"	""			
"454.50516"	"454.505166"	"1738"	"4.71e+07"	B		
"454.77582"	"454.775828"	"20"	"7.7e+06"	D		
"456.10124"	"456.101276"	"7"	""			
"456.37423"	"456.37427"	"37bl"	""			
"456.44055"	"456.440540"	"42"	"2.9e+07"	D		
"457.2894"	"457.289124"	"2"	""			
"457.93493"	"457.934934"	"871"	"8.0e+07"	B		
"458.7895"	"458.789089"	"3"	"3.e+05"	C		
"458.98976"	"458.989759"	"25704"	"6.64e+07"	A		
"459.34476"	"459.34483"	"4"	""			
"459.87625"	"459.876258"	"182"	"6.7e+06"	B		
"460.002"	"460.001880"	"1h"	""			
"460.95669"	"460.956692"	"2291"	"7.89e+07"	A		
"461.12432"	"461.12444"	"9"	""			
"461.410"	"461.41106"	"1h"	""			
"463.72324"	"463.723239"	"148"	"7.1e+06"	A		
"465.79009"	"465.790090"	"1445"	"8.92e+07"	B		
"466.6260"	"466.626360"	"1"	""			
"468.14971"	"468.149686"	"5"	""			
"468.22759"	"468.227587"	"21"	"8.e+05"	C+		
"470.33576"	"470.33571"	"15"	""			
"471.08230"	"471.082366"	"14"	"5.e+05"	C+		
"472.15913"	"472.159064"	"32"	"1.5e+07"	D		
"472.68681"	"472.686807"	"23442"	"5.88e+07"	A		
"473.0672"	"473.067157"	"7"	""			
"473.20530"	"473.205302"	"200"	"6.7e+06"	B		
"473.59055"	"473.590548"	"1000"	"5.80e+07"	A		
"474.319"	"474.3195"	"0?"	""			
"475.72197"	"475.721993"	"5"	""			
"476.48644"	"476.486444"	"2344"	"6.4e+07"	B		
"478.6150"	"478.61483"	"6"	""			
"479.20818"	"479.208185"	"17"	""			
"479.259"	"479.2590"	"0h"	""			
"479.371"	"479.3711"	"0h"	""			
"480.60202"	"480.602014"	"1820"	"7.80e+07"	A		
"484.120"	"484.1197"	"0.5?"	""			
"484.78095"	"484.780955"	"832"	"8.49e+07"	B		
"484.79991"	"484.79977"	"9"	""			
"485.6156"	"485.61557"	"1"	""			
"486.59109"	"486.591056"	"83"	"1.5e+07"	D		
"486.75554"	"486.75560"	"17"	""			
"487.7120"	"487.71202"	"4"	""			
"487.98634"	"487.986345"	"2239"	"8.23e+07"	A		
"488.22424"	"488.22431"	"21"	""			
"488.82605"	"488.82611"	"8"	""			
"488.90419"	"488.904194"	"288"	"1.9e+07"	C		
"490.47514"	"490.475143"	"107"	"3.7e+06"	B+		
"491.43151"	"491.431459"	"7"	""			
"493.32089"	"493.320891"	"251"	"1.44e+07"	A		
"493.6083"	"493.608555"	"3"	"7.e+05"	C+		
"494.29210"	"494.29215"	"19"	""			
"494.93999"	"494.939807"	"6"	""			
"495.2924"	"495.292311"	"2"	"6.e+05"	D		
"495.51096"	"495.51112"	"8"	""			
"495.9478"	"495.948667"	"1"	""			
"496.50794"	"496.507942"	"891"	"3.94e+07"	A		
"497.21599"	"497.215984"	"100"	"9.7e+06"	B+		
"498.0025"	"498.003313"	"0.5"	""			
"499.072"	"499.073652"	"0.5?"	""			
"499.345"	"499.345575"	"0.5"	""			
"499.3746"	"499.37552"	"2"	""			
"499.6782"	"499.679301"	"2"	""			
"500.93342"	"500.933420"	"355"	"1.51e+07"	B		
"501.492"	"501.4932"	"1h"	""			
"501.71626"	"501.716264"	"7413"	"2.07e+07"	B		
"501.76337"	"501.763384"	"14"	"1.1e+06"	B		
"502.4778"	"502.47938"	"1"	""			
"503.0700"	"503.06820"	"1h"	""			
"503.440"	"503.440128"	"0.5"	""			
"503.777"	"503.777036"	"0.5bl"	""			
"504.2416"	"504.241985"	"1"	""			
"504.511"	"504.510468"	"0.5w,bl"	""			
"506.20370"	"506.203703"	"398"	"2.23e+07"	B		
"508.764"	"508.763614"	"0.5"	""			
"509.04948"	"509.04949"	"45"	""			
"509.2174"	"509.218711"	"1"	""			
"509.5845"	"509.58581"	"2"	""			
"509.6851"	"509.68595"	"1"	""			
"510.045"	"510.044206"	"0.5"	""			
"512.14804"	"512.14805"	"5"	""			
"512.259"	"512.259683"	"0.5*"	""			
"512.259"	"512.260827"	"0.5*"	""			
"512.2972"	"512.29809"	"2"	""			
"512.57663"	"512.57660"	"17"	""			
"512.9083"	"512.90918"	"2"	""			
"513.1106"	"513.109604"	"1"	""			
"513.2145"	"513.214532"	"2"	""			
"514.17826"	"514.178260"	"224"	"8.1e+06"	A		
"514.53080"	"514.530815"	"162"	"1.06e+07"	B		
"515.28606"	"515.28606"	"5"	""			
"515.9505"	"515.951240"	"1"	""			
"516.081"	"516.082641"	"0bl"	""			
"516.27467"	"516.27463"	"14"	""			
"516.57727"	"516.577292"	"48"	""			
"517.5426"	"517.541477"	"2"	""			
"517.62290"	"517.622902"	"26"	"1.7e+06"	B		
"517.924"	"517.926198"	"0h"	""			
"518.309"	"518.308019"	"1bl,i"	""			
"519.13656"	"519.136565"	"10"	""			
"520.2193"	"520.21929"	"5"	""			
"520.44432"	"520.444333"	"7"	""			
"521.511"	"521.509472"	"0.5"	"1.6e+04"	E		
"521.68140"	"521.681402"	"28"	""			
"521.9589"	"521.959514"	"1"	""			
"522.1864"	"522.18622"	"6"	""			
"523.05008"	"523.05025"	"6"	""			
"523.075"	"523.0790"	"0.5"	""			
"523.603"	"523.601955"	"1"	""			
"523.6231"	"523.623215"	"2bl"	""			
"523.6853"	"523.68634"	"1"	""			
"523.792"	"523.79211"	"0"	""			
"524.1786"	"524.178891"	"2"	""			
"524.509"	"524.50676"	"1"	""			
"524.53778"	"524.53780"	"7"	""			
"524.7469"	"524.7472"	"1"	""			
"524.7986"	"524.79866"	"3"	""			
"524.95457"	"524.95456"	"11"	""			
"525.057"	"525.056154"	"0"	""			
"525.11051"	"525.11058"	"12"	""			
"525.14029"	"525.14026"	"11"	""			
"525.2138"	"525.213571"	"1"	""			
"525.539"	"525.539665"	"0.5"	""			
"525.5677"	"525.566531"	"1*"	""			
"525.5677"	"525.5680"	"1*"	""			
"525.5677"	"525.5681"	"1*"	""			
"525.65648"	"525.656363"	"8"	""			
"525.8223"	"525.8249"	"1"	""			
"525.9174"	"525.91803"	"1"	""			
"526.18987"	"526.18981"	"7"	""			
"526.4305"	"526.4302"	"1"	""			
"526.47819"	"526.47824"	"17"	""			
"526.71634"	"526.71651"	"14"	""			
"526.7958"	"526.79597"	"3"	""			
"526.8246"	"526.82584"	"3"	""			
"526.9761"	"526.97569"	"4"	""			
"527.3580"	"527.3598"	"1"	""			
"527.385"	"527.38704"	"0.5"	""			
"528.16295"	"528.162946"	"21"	""			
"528.3437"	"528.345700"	"1bl"	""			
"528.5438"	"528.543022"	"2"	""			
"528.68866"	"528.688689"	"18"	"2.e+05"	C		
"528.8634"	"528.863551"	"1"	""			
"529.00551"	"529.00553"	"9"	""			
"529.099"	"529.1006"	"0.5p"	""			
"529.197"	"529.194971"	"0.5"	""			
"529.38157"	"529.38155"	"6"	""			
"529.5892"	"529.5911"	"3"	""			
"529.63883"	"529.63885"	"7"	""			
"529.6791"	"529.67949"	"3"	""			
"529.8001"	"529.799994"	"2"	""			
"529.90805"	"529.908241"	"5"	""			
"529.948"	"529.94925"	"0"	""			
"530.07745"	"530.07752"	"8"	""			
"530.256"	"530.256944"	"0"	""			
"530.56856"	"530.5682"	"15*"	""			
"530.56856"	"530.56880"	"15*"	""			
"530.8074"	"530.80709"	"5"	""			
"531.19816"	"531.19817"	"5"	""			
"531.2078"	"531.20779"	"5"	""			
"531.4258"	"531.426101"	"2"	""			
"531.5215"	"531.52227"	"4bl"	""			
"531.611"	"531.6083"	"0*"	""			
"531.611"	"531.6106"	"0*"	""			
"532.8758"	"532.874065"	"1bl"	""			
"532.96992"	"532.96991"	"10"	""			
"533.0664"	"533.064535"	"3bl,i,G"	""			
"533.1042"	"533.10417"	"6"	""			
"533.270"	"533.271548"	"0"	""			
"533.512"	"533.510209"	"0.5"	""			
"533.5916"	"533.59148"	"1"	""			
"533.7250"	"533.72466"	"1"	""			
"533.8106"	"533.810080"	"1"	""			
"533.933"	"533.93289"	"1"	""			
"534.326"	"534.32344"	"0?"	""			
"534.45228"	"534.45231"	"7"	""			
"534.5609"	"534.55966"	"1"	""			
"534.82636"	"534.82634"	"13"	""			
"534.8604"	"534.860247"	"2"	""			
"534.9717"	"534.970572"	"2"	""			
"535.1449"	"535.1433"	"4l"	""			
"535.482"	"535.48342"	"1"	""			
