obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"726.5172"	"726.517"	"15"	"1.7e+05"	D		
"727.0664"	"727.067"	"7"	"1.1e+05"	D		
"727.2936"	"727.29354"	"2000"	"1.83e+06"	B+		
""	"728.54433"	""	"1.2e+05"	D		
"731.1716"	"731.17161"	"35"	"1.7e+06"	D+		
"731.6005"	"731.60052"	"25"	"9.6e+05"	D+		
"735.0814"	"735.0814"	"5"	"1.2e+06"	D+		
""	"735.31749"	""	"2.1e+05"	E		
"735.3293"	"735.330"	"70"	"9.6e+05"	D+		
"737.2118"	"737.2117"	"200"	"1.9e+06"	D+		
"738.3980"	"738.39801"	"10000"	"8.5e+06"	B		
"739.2980"	"739.29798"	"20"	"7.2e+05"	D+		
"741.2337"	"741.23366"	"15"	"3.9e+05"	D+		
""	"742.23116"	""	"6.6e+04"	D		
"742.5294"	"742.52943"	"10"	"3.1e+05"	D		
"743.5368"	"743.53680"	"25"	"9.0e+05"	D+		
"743.6297"	"743.62965"	"10"	"2.7e+05"	D		
""	"747.11636"	""	"2.20e+04"	B		
""	"748.433"	""	"3.4e+05"	D+		
"750.3869"	"750.38680"	"20000"	"4.5e+07"	B		
""	"751.04080"	""	"4.5e+05"	D		
"751.4652"	"751.46512"	"15000"	"4.0e+07"	B		
""	"761.83441"	""	"2.9e+05"	D		
""	"762.88816"	""	"2.9e+05"	D		
"763.5106"	"763.51054"	"25000"	"2.45e+07"	B		
""	"767.00571"	""	"2.8e+05"	D		
""	"770.482"	""	"6.3e+04"	D		
"772.3761"	"772.37600"	"15000"	"5.2e+06"	B+		
"772.4207"	"772.42067"	"10000"	"1.17e+07"	B+		
""	"779.85609"	""	"8.7e+04"	D+		
""	"786.81945"	""	"3.50e+05"	C		
"789.1075"	"789.10751"	"10"	"9.5e+05"	C		
""	"791.64418"	""	"1.2e+05"	D+		
"794.8176"	"794.81759"	"20000"	"1.86e+07"	B		
""	"796.50647"	""	"3.4e+04"	E		
"800.6157"	"800.61562"	"20000"	"4.9e+06"	C+		
"801.4786"	"801.47854"	"25000"	"9.3e+06"	B		
""	"801.67376"	""	"4.2e+03"	E		
""	"803.72188"	""	"3.59e+05"	C		
""	"804.6118"	""	"1.12e+06"	C		
"805.3308"	"805.33084"	"7"	"8.6e+05"	C		
""	"806.66043"	""	"1.4e+05"	D+		
