obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"390.53561"	"390.535646"	"180"	""			
"390.60330"	"390.603307"	"41"	""			
"390.68280"	"390.682808"	"41"	""			
"390.73361"	"390.733512"	"140"	""			
"390.79073"	"390.790629"	"74"	""			
"390.84881"	"390.848816"	"41"	""			
"391.22808"	"391.228072"	"450"	""			
"391.30051"	"391.300522"	"430"	""			
"391.31951"	"391.319288"	"13"	""			
"391.38237"	"391.382357"	"370"	""			
"391.44702"	"391.44709"	"81"	""			
"391.45337"	"391.453352"	"280"	""			
"391.67241"	"391.672429"	"360"	""			
"391.67963"	"391.679619"	"360"	""			
"391.80086"	"391.800873"	"150"	""			
"391.82850"	"391.828510"	"140"	""			
"392.01700"	"392.017410"	"13"	""			
"392.03124"	"392.031222"	"290"	""			
"392.05201"	"392.052023"	"68"	""			
"392.09535"	"392.095321"	"50"	""			
"392.20980"	"392.210079"	"110"	""			
"392.22190"	"392.221879"	"160"	""			
"392.46280"	"392.462437"	"40"	""			
"392.49870"	"392.498587"	"270"	""			
"392.67063"	"392.670646"	"100"	""			
"392.71760"	"392.717568"	"370"	""			
"392.74215"	"392.742160"	"490"	""			
"392.82391"	"392.823779"	"13"	""			
"392.86989"	"392.869810"	"76"	""			
"392.89416"	"392.894037"	"80"	""			
"392.91920"	"392.919411"	"26"	""			
"392.93951"	"392.939361"	"270*"	""			
"392.93951"	"392.939489"	"270*"	""			
"392.96458"	"392.964572"	"520"	""			
"392.966909"	"392.966915"	"9100"	""			
"392.98446"	"392.984450"	"610"	""			
"393.12565"	"393.12565"	"340"	""			
"393.20021"	"393.200432"	"200"	""			
"393.22262"	"393.222608"	"420"	""			
"393.33533"	"393.335400"	"120"	""			
"393.35711"	"393.357219"	"26"	""			
"393.41750"	"393.417432"	"66"	""			
"393.52400"	"393.523862"	"26"	""			
"393.56307"	"393.563118"	"200"	""			
"393.59386"	"393.593806"	"170"	""			
"393.61250"	"393.612138"	"13"	""			
"393.62960"	"393.630236"	"53"	""			
"393.66041"	"393.660602"	"980"	""			
"393.68380"	"393.683858"	"13"	""			
"393.70404"	"393.704029"	"590"	""			
"393.79235"	"393.792367"	"560"	""			
"393.84225"	"393.842248"	"120"	""			
"393.85800"	"393.857858"	"65"	""			
"393.87263"	"393.872735"	"170"	""			
"393.87807"	"393.878036"	"320"	""			
"393.97930"	"393.979431"	"200"	""			
"394.03684"	"394.036883"	"90"	""			
"394.13625"	"394.136209"	"77"	""			
"394.17263"	"394.172575"	"61"	""			
"394.20390"	"394.203986"	"83"	""			
"394.26428"	"394.264286"	"210"	""			
"394.27001"	"394.270063"	"65"	""			
"394.28535"	"394.285433"	"80"	""			
"394.32590"	"394.325942"	"230"	""			
"394.339403"	"394.339413"	"860"	""			
"394.36901"	"394.369024"	"450"	""			
"394.550700"	"394.550713"	"1100"	""			
"394.581993"	"394.581997"	"660"	""			
"394.614530"	"394.614528"	"1700"	""			
"394.64830"	"394.648222"	"570*"	""			
"394.65960"	"394.659524"	"25"	""			
"394.896377"	"394.896376"	"1000"	""			
"394.90013"	"394.899985"	"93*"	""			
"394.90013"	"394.899998"	"93*"	""			
"394.92060"	"394.920730"	"52"	""			
"395.00880"	"395.008604"	"13"	""			
"395.11082"	"395.110802"	"160"	""			
"395.151468"	"395.151480"	"1000"	""			
"395.24481"	"395.244868"	"39"	""			
"395.29010"	"395.290362"	"26"	""			
"395.39000"	"395.390219"	"26"	""			
"395.39701"	"395.396958"	"26"	""			
"395.44640"	"395.446383"	"130"	""			
"395.45910"	"395.45939"	"13"	""			
"395.51011"	"395.510045"	"65"	""			
"395.52538"	"395.525385"	"86"	""			
"395.659339"	"395.659347"	"1000"	""			
"395.669062"	"395.669057"	"2100"	""			
"395.70552"	"395.705431"	"120"	""			
"395.71571"	"395.715645"	"190"	""			
"395.74800"	"395.747685"	"26"	""			
"395.76290"	"395.76285"	"74"	""			
"395.80140"	"395.80152"	"13"	""			
"395.90255"	"395.902626"	"72"	""			
"395.92216"	"395.922059"	"120"	""			
"396.00191"	"396.001859"	"100"	""			
"396.03325"	"396.033313"	"160"	""			
"396.03600"	"396.036104"	"52"	""			
"396.09550"	"396.095776"	"26"	""			
"396.13041"	"396.13039"	"110"	""			
"396.15030"	"396.150162"	"26"	""			
"396.19660"	"396.196518"	"52"	""			
"396.23348"	"396.233463"	"170"	""			
"396.29210"	"396.292099"	"39"	""			
"396.32197"	"396.322001"	"190"	""			
"396.34686"	"396.346866"	"230"	""			
"396.47381"	"396.473860"	"2600"	""			
"396.48650"	"396.486462"	"130"	""			
"396.60529"	"396.605682"	"34"	""			
"396.62310"	"396.623087"	"200"	""			
"396.67070"	"396.670722"	"39"	""			
"396.72120"	"396.721195"	"660"	""			
"396.75602"	"396.756072"	"88"	""			
"396.84840"	"396.848462"	"1300"	""			
"396.900250"	"396.900255"	"1200"	""			
"396.92910"	"396.929025"	"76"	""			
"396.93359"	"396.933702"	"89"	""			
"396.95293"	"396.952898"	"150"	""			
"396.95611"	"396.956418"	"1000"	""			
"396.98261"	"396.982611"	"40"	""			
"396.98540"	"396.985581"	"66"	""			
"397.11873"	"397.11780"	"23"	""			
"397.39930"	"397.399201"	"12"	""			
"397.42246"	"397.422447"	"150"	""			
"397.43975"	"397.439744"	"140"	""			
"397.48730"	"397.487306"	"12"	""			
"397.52216"	"397.522197"	"120"	""			
"397.64147"	"397.641460"	"660"	""			
"397.65249"	"397.652123"	"58"	""			
"397.77950"	"397.779567"	"38"	""			
"397.90380"	"397.90384"	"2600"	""			
"397.90431"	"397.90429"	"150"	""			
"398.01430"	"398.014710"	"63"	""			
"398.07549"	"398.075476"	"590"	""			
"398.110631"	"398.110631"	"910"	""			
"398.15340"	"398.153627"	"130"	""			
"398.21019"	"398.210183"	"340"	""			
"398.22285"	"398.223414"	"66"	""			
"398.43756"	"398.437531"	"100"	""			
"398.46200"	"398.462053"	"130"	""			
"398.50651"	"398.506655"	"25"	""			
"398.54114"	"398.541051"	"170"	""			
