obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"457.3898"	"457.38850"	"300"	""			
"457.50620"	"457.50614"	"3000"	""			
"457.5858"	"457.58571"	"200"	""			
"458.2035"	"458.20397"	"1500"	""			
"458.2105"	"458.21009"	"150"	""			
"458.24521"	"458.24505"	"1500"	""			
"458.2556"	"458.25596"	"150"	""			
"458.2980"	"458.2995"	"50"	""			
"458.5876"	"458.5869"	"100"	""			
"458.6145"	"458.6141"	"20"	""			
"459.3243"	"459.32342"	"500"	""			
"459.5249"	"459.52455"	"500"	""			
"460.4095"	"460.4095"	"150"	""			
"460.4680"	"460.4693"	"10"	""			
"460.4938"	"460.49404"	"50"	""			
"460.9365"	"460.93719"	"300"	""			
"460.9910"	"460.99116"	"1500"	""			
"461.4391"	"461.43908"	"1000"	""			
"461.6911"	"461.6919"	"50"	""			
"461.7837"	"461.78385"	"700"	""			
"462.7799"	"462.78067"	"20"	""			
"462.83113"	"462.83109"	"1500"	""			
"462.8460"	"462.84802"	"300"	""			
"463.6125"	"463.61255"	"700"	""			
"463.66362"	"463.66362"	"700"	""			
"463.6974"	"463.69729"	"500"	""			
"463.9591"	"463.95932"	"300"	""			
"464.0443"	"464.04643"	"700"	""			
"464.3182"	"464.3177"	"50"	""			
"464.3931"	"464.3926"	"20"	""			
"464.4833"	"464.48293"	"400"	""			
"464.54180"	"464.54172"	"3000"	""			
"464.5885"	"464.58887"	"10"	""			
"464.9904"	"464.99065"	"700"	""			
"465.2101"	"465.21049"	"300"	""			
"465.3699"	"465.37174"	"500"	""			
"465.63936"	"465.63926"	"3000"	""			
"466.11054"	"466.11046"	"1500"	""			
"466.3092"	"466.30923"	"400"	""			
"466.3518"	"466.3518"	"200"	""			
"466.6654"	"466.66799"	"500"	""			
"466.73643"	"466.73647"	"1000"	""			
"467.0884"	"467.08838"	"700"	""			
"467.8218"	"467.82177"	"3000"	""			
"467.86107"	"467.86089"	"500"	""			
"467.9135"	"467.91360"	"1500"	""			
"468.03670"	"468.03671"	"1000"	""			
"468.1200"	"468.12000"	"500"	""			
"468.1930"	"468.19253"	"200"	""			
"468.2146"	"468.21532"	"200"	""			
"468.2910"	"468.29114"	"100"	""			
"468.3238"	"468.32400"	"50"	""			
"468.3764"	"468.37784"	"300"	""			
"468.7671"	"468.76706"	"1000"	""			
"468.8191"	"468.82148"	"20"	""			
"469.1580"	"469.15832"	"150"	""			
"469.5363"	"469.5348"	"200"	""			
"469.6943"	"469.69518"	"50"	""			
"470.0469"	"470.04779"	"50"	""			
"470.25305"	"470.25289"	"1500"	"1.62e+05"	C		
"470.43949"	"470.43948"	"15000"	"2.10e+06"	C+		
"470.88594"	"470.88584"	"12000"	"3.26e+06"	C+		
"471.00650"	"471.00638"	"10000"	"4.09e+06"	C+		
"471.04881"	"471.04872"	"300"	""			
"471.20633"	"471.20625"	"15000"	""			
"471.21406"	"471.21469"	"150*"	""			
"471.21406"	"471.21404"	"150*"	""			
"471.2800"	"471.27983"	"100"	""			
"471.43397"	"471.43386"	"700"	""			
"471.51248"	"471.51239"	"300"	""			
"471.52580"	"471.52539"	"300"	""			
"471.5344"	"471.53441"	"15000"	""			
"471.76085"	"471.76092"	"700"	""			
"472.15337"	"472.15360"	"700"	""			
"472.2150"	"472.2189"	"50"	""			
"472.2714"	"472.27198"	"150"	""			
"472.3810"	"472.38115"	"700*"	""			
"472.3810"	"472.37984"	"700*"	""			
"472.4162"	"472.4157"	"50"	""			
"472.5145"	"472.51457"	"700"	""			
"474.95754"	"474.95745"	"3000"	""			
"475.06826"	"475.06871"	"300"	""			
"475.1802"	"475.18012"	"300"	""			
"475.27320"	"475.27311"	"5000"	""			
"475.3123"	"475.31186"	"10"	""			
"475.4440"	"475.44404"	"1000"	""			
"475.8728"	"475.87268"	"1500"	""			
"478.0338"	"478.03377"	"3000"	""			
"478.0884"	"478.08807"	"300"	""			
"478.1239"	"478.12388"	"20"	""			
"478.4022"	"478.4025"	"20"	""			
"478.89258"	"478.89249"	"10000"	""			
"478.95982"	"478.95920"	"1000"	""			
"479.02195"	"479.02171"	"5000"	""			
"479.0728"	"479.07185"	"300"	""			
"480.0111"	"480.01101"	"150"	""			
"480.1076"	"480.10769"	"20"	""			
"480.2363"	"480.23730"	"100"	""			
"480.3225"	"480.3250"	"10"	""			
"480.9500"	"480.94996"	"100"	""			
"481.00640"	"481.00626"	"1500"	""			
"481.06392"	"481.06355"	"1000"	""			
"481.4338"	"481.43382"	"500"	""			
"481.6900"	"481.6887"	"10"	""			
"481.76386"	"481.76381"	"3000"	""			
"481.87847"	"481.87828"	"1500"	""			
"481.9937"	"481.99290"	"700"	""			
"482.19218"	"482.19214"	"3000"	""			
"482.31725"	"482.31720"	"1000"	""			
"482.3370"	"482.33511"	"500"	""			
"482.5529"	"482.55181"	"500"	""			
"482.7338"	"482.73382"	"10000"	""			
"482.7587"	"482.75871"	"3000"	""			
"482.9288"	"482.92886"	"50"	""			
"483.73139"	"483.73128"	"5000"	""			
"484.2566"	"484.25612"	"100"	""			
"484.2941"	"484.29286"	"500"	""			
"484.5145"	"484.5140"	"150"	""			
"484.5767"	"484.5787"	"50"	""			
"484.9530"	"484.95283"	"300"	""			
"485.1501"	"485.14989"	"600"	""			
"485.2655"	"485.26547"	"1000"	""			
"485.9604"	"485.96055"	"150"	""			
"486.30810"	"486.30767"	"1000"	""			
"486.43729"	"486.43717"	"300"	""			
"486.55065"	"486.55011"	"1000"	""			
"486.6476"	"486.64761"	"800"	""			
"486.70189"	"486.70168"	"700"	""			
"486.82766"	"486.82683"	"700"	""			
"488.3403"	"488.34073"	"150"	""			
"488.49170"	"488.49181"	"10000"	"4.15e+05"	C+		
"488.50971"	"488.50940"	"1000"	"1.02e+05"	C		
"488.8365"	"488.83633"	"50"	""			
"489.2090"	"489.20896"	"5000"	""			
"489.2228"	"489.22327"	"100"	""			
"489.7924"	"489.79214"	"700"	""			
"489.9013"	"489.90122"	"500"	""			
"492.8235"	"492.82397"	"700"	""			
"493.0944"	"493.09547"	"500"	""			
"493.9041"	"493.90431"	"1000"	""			
"494.4987"	"494.49874"	"1000"	""			
"495.53905"	"495.53896"	"1500"	"2.69e+05"	C		
"495.70335"	"495.70324"	"10000"	"1.06e+06"	C+		
"495.7122"	"495.71265"	"1500"	"3.41e+05"	C+		
"497.35555"	"497.35533"	"1000"	""			
"497.4760"	"497.47733"	"500"	""			
"497.5961"	"497.59950"	"100"	""			
"497.9625"	"497.96423"	"50"	""			
"499.4930"	"499.49281"	"1500"	""			
"499.6209"	"499.62536"	"20"	""			
"499.7482"	"499.74858"	"150"	""			
"499.8502"	"499.85144"	"100"	""			
"500.0395"	"500.04051"	"30"	""			
"500.3561"	"500.35720"	"20"	""			
"500.51587"	"500.51582"	"5000"	"4.37e+05"	C+		
"500.53467"	"500.53428"	"500"	"1.53e+05"	C		
"501.1003"	"501.10099"	"250"	""			
"501.5187"	"501.51861"	"50"	""			
"502.2870"	"502.28639"	"250"	""			
"503.13484"	"503.13481"	"2500"	"1.34e+06"	C+		
"503.15087"	"503.15041"	"20"	"9.8e+04"	C		
"503.60016"	"503.59924"	"350"	"2.08e+05"	C		
"503.75927"	"503.75844"	"30"	"2.26e+05"	C		
